TelemetryFrame(timestamp_ms=157801.0, loop_dt=1000.0, control_dt=17.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=0.5, Ki=0.01, Kd=0.01, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7891.0, nframes_sent_serial=7891.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158021.0, loop_dt=1000.0, control_dt=15.0, read_dt=35.0, pwm_duty_cycle=0.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=0.000833, torque_control=-0.000833, torque_net=0.0, position_setpoint=0.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7902.0, nframes_sent_serial=7902.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158041.0, loop_dt=1000.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7903.0, nframes_sent_serial=7903.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158061.0, loop_dt=1000.0, control_dt=19.0, read_dt=69.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7904.0, nframes_sent_serial=7904.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158081.0, loop_dt=1001.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7905.0, nframes_sent_serial=7905.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158101.0, loop_dt=1000.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7906.0, nframes_sent_serial=7906.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158121.0, loop_dt=999.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7907.0, nframes_sent_serial=7907.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158141.0, loop_dt=1008.0, control_dt=26.0, read_dt=77.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7908.0, nframes_sent_serial=7908.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158161.0, loop_dt=1004.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7909.0, nframes_sent_serial=7909.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158181.0, loop_dt=1000.0, control_dt=19.0, read_dt=69.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7910.0, nframes_sent_serial=7910.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158201.0, loop_dt=1000.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7911.0, nframes_sent_serial=7911.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158221.0, loop_dt=1000.0, control_dt=19.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7912.0, nframes_sent_serial=7912.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158241.0, loop_dt=1005.0, control_dt=22.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7913.0, nframes_sent_serial=7913.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158261.0, loop_dt=1000.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7914.0, nframes_sent_serial=7914.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158281.0, loop_dt=1001.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7915.0, nframes_sent_serial=7915.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158301.0, loop_dt=1000.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7916.0, nframes_sent_serial=7916.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158321.0, loop_dt=988.0, control_dt=22.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7917.0, nframes_sent_serial=7917.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158341.0, loop_dt=1000.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7918.0, nframes_sent_serial=7918.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158361.0, loop_dt=999.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7919.0, nframes_sent_serial=7919.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158381.0, loop_dt=999.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7920.0, nframes_sent_serial=7920.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158401.0, loop_dt=1000.0, control_dt=18.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7921.0, nframes_sent_serial=7921.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158421.0, loop_dt=1000.0, control_dt=19.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7922.0, nframes_sent_serial=7922.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158441.0, loop_dt=1000.0, control_dt=19.0, read_dt=68.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7923.0, nframes_sent_serial=7923.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
TelemetryFrame(timestamp_ms=158461.0, loop_dt=1000.0, control_dt=19.0, read_dt=69.0, pwm_duty_cycle=1024.0, pwm_frequency=1.732727, position=0.0, velocity=0.0, filtered_velocity=0.0, current=0.0, filtered_current=0.0, torque_external=-0.003017, torque_control=0.003017, torque_net=0.0, position_setpoint=1938.0, velocity_setpoint=0.0, accel_setpoint=0.0, torque_setpoint=0.0, Kp=1.0, Ki=0.0, Kd=0.1, impedance_K=0.001, impedance_B=0.01, impedance_J=1e-06, nframes_sent_queue=7924.0, nframes_sent_serial=7924.0, control_type_val=0.0, current_sens_adc_voltage=0.0, twid_id_val='CONTROL_ONE', control_type=<ControlType.POSITION_CTRL: (0, 'position')>, twid_id=<TwidID.TWID1_ID: 'CONTROL_ONE'>)
